recorded_time,temperature,sensor_type
2024-09-12T00:00,0.15702062893082314,UNKNOWN
2024-09-12T00:01,0.15702062893082314,UNKNOWN
2024-09-12T00:02,0.057020628930821715,UNKNOWN
2024-09-12T00:03,-0.042979371069179706,UNKNOWN
2024-09-12T00:04,0.057020628930821715,UNKNOWN
2024-09-12T00:05,0.057020628930821715,UNKNOWN
2024-09-12T00:06,0.057020628930821715,UNKNOWN
2024-09-12T00:07,0.15702062893082314,UNKNOWN
2024-09-12T00:08,0.15702062893082314,UNKNOWN
2024-09-12T00:09,0.057020628930821715,UNKNOWN
2024-09-12T00:10,0.15702062893082314,UNKNOWN
2024-09-12T00:11,0.15702062893082314,UNKNOWN
2024-09-12T00:12,0.15702062893082314,UNKNOWN
2024-09-12T00:13,0.15702062893082314,UNKNOWN
2024-09-12T00:14,0.057020628930821715,UNKNOWN
2024-09-12T00:15,0.057020628930821715,UNKNOWN
2024-09-12T00:16,-0.042979371069179706,UNKNOWN
2024-09-12T00:17,-0.042979371069179706,UNKNOWN
2024-09-12T00:18,-0.242979371069179,UNKNOWN
2024-09-12T00:19,-0.5429793710691797,UNKNOWN
2024-09-12T00:20,-0.742979371069179,UNKNOWN
2024-09-12T00:21,-1.1429793710691811,UNKNOWN
2024-09-12T00:22,-1.3429793710691804,UNKNOWN
2024-09-12T00:23,-1.5429793710691797,UNKNOWN
2024-09-12T00:24,-1.8429793710691804,UNKNOWN
2024-09-12T00:25,-1.9429793710691783,UNKNOWN
2024-09-12T00:26,-1.742979371069179,UNKNOWN
2024-09-12T00:27,-1.5429793710691797,UNKNOWN
2024-09-12T00:28,-1.3429793710691804,UNKNOWN
2024-09-12T00:29,-1.3429793710691804,UNKNOWN
2024-09-12T00:30,-1.1429793710691811,UNKNOWN
2024-09-12T00:31,-1.0429793710691797,UNKNOWN
2024-09-12T00:32,-0.9429793710691783,UNKNOWN
2024-09-12T00:33,-0.9429793710691783,UNKNOWN
2024-09-12T00:34,-0.8429793710691804,UNKNOWN
2024-09-12T00:35,-0.8429793710691804,UNKNOWN
2024-09-12T00:36,-0.742979371069179,UNKNOWN
2024-09-12T00:37,-0.742979371069179,UNKNOWN
2024-09-12T00:38,-0.742979371069179,UNKNOWN
2024-09-12T00:39,-0.742979371069179,UNKNOWN
2024-09-12T00:40,-0.742979371069179,UNKNOWN
2024-09-12T00:41,-0.742979371069179,UNKNOWN
2024-09-12T00:42,-0.742979371069179,UNKNOWN
2024-09-12T00:43,-0.742979371069179,UNKNOWN
2024-09-12T00:44,-0.742979371069179,UNKNOWN
2024-09-12T00:45,-0.6429793710691811,UNKNOWN
2024-09-12T00:46,-0.6429793710691811,UNKNOWN
2024-09-12T00:47,-0.742979371069179,UNKNOWN
2024-09-12T00:48,-0.742979371069179,UNKNOWN
2024-09-12T00:49,-0.6429793710691811,UNKNOWN
2024-09-12T00:50,-0.8429793710691804,UNKNOWN
2024-09-12T00:51,-0.9429793710691783,UNKNOWN
2024-09-12T00:52,-0.9429793710691783,UNKNOWN
2024-09-12T00:53,-0.8429793710691804,UNKNOWN
2024-09-12T00:54,-0.8429793710691804,UNKNOWN
2024-09-12T00:55,-0.9429793710691783,UNKNOWN
2024-09-12T00:56,-0.9429793710691783,UNKNOWN
2024-09-12T00:57,-1.0429793710691797,UNKNOWN
2024-09-12T00:58,-1.0429793710691797,UNKNOWN
2024-09-12T00:59,-0.9429793710691783,UNKNOWN
2024-09-12T01:00,-1.0429793710691797,UNKNOWN
2024-09-12T01:01,-1.0429793710691797,UNKNOWN
2024-09-12T01:02,-0.9429793710691783,UNKNOWN
2024-09-12T01:03,-1.0429793710691797,UNKNOWN
2024-09-12T01:04,-1.1429793710691811,UNKNOWN
2024-09-12T01:05,-1.3429793710691804,UNKNOWN
2024-09-12T01:06,-1.3429793710691804,UNKNOWN
2024-09-12T01:07,-1.242979371069179,UNKNOWN
2024-09-12T01:08,-1.242979371069179,UNKNOWN
2024-09-12T01:09,-1.3429793710691804,UNKNOWN
2024-09-12T01:10,-1.5429793710691797,UNKNOWN
2024-09-12T01:11,-1.6429793710691811,UNKNOWN
2024-09-12T01:12,-1.742979371069179,UNKNOWN
2024-09-12T01:13,-1.6429793710691811,UNKNOWN
2024-09-12T01:14,-1.6429793710691811,UNKNOWN
2024-09-12T01:15,-1.6429793710691811,UNKNOWN
2024-09-12T01:16,-1.5429793710691797,UNKNOWN
2024-09-12T01:17,-1.6429793710691811,UNKNOWN
2024-09-12T01:18,-1.5429793710691797,UNKNOWN
2024-09-12T01:19,-1.3429793710691804,UNKNOWN
2024-09-12T01:20,-1.3429793710691804,UNKNOWN
2024-09-12T01:21,-1.242979371069179,UNKNOWN
2024-09-12T01:22,-1.0429793710691797,UNKNOWN
2024-09-12T01:23,-0.8429793710691804,UNKNOWN
2024-09-12T01:24,-0.742979371069179,UNKNOWN
