Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2024-01-01 00:00:00,138.56,129.89054218445446,0.0,0.021125,0.0,1.5109019799034997,1.5109019799034997
2024-01-01 00:03:00,138.56000000000108,132.65463122491693,0.0,0.021125,0.0,1.510901979903625,1.510901979903625
2024-01-01 00:06:00,138.55999999989476,134.67635307457806,0.0,0.021125,0.0,1.510901979892466,1.510901979892466
2024-01-01 00:09:00,138.55999999866643,136.55224060715233,0.0,0.021125,0.0,1.5109019797635588,1.5109019797635588
2024-01-01 00:12:00,138.5599999927699,138.1863157991345,0.0,0.021125,0.0,1.5109019791447786,1.5109019791447786
2024-01-01 00:15:00,138.55999997449413,139.48260062339278,0.0,0.021125,0.0,1.510901977226944,1.510901977226944
2024-01-01 00:18:00,138.5599999308572,140.34511704787081,0.0,0.021125,0.0,1.5109019726477135,1.5109019726477135
2024-01-01 00:21:00,138.55999984309256,140.67788703487602,0.0,0.021125,0.0,1.51090196343777,1.51090196343777
2024-01-01 00:24:00,138.5599996866284,140.38493254089917,0.0,0.021125,0.0,1.5109019470185523,1.5109019470185523
2024-01-01 00:27:00,138.55999943142493,139.38853432477197,0.0,0.021125,0.0,1.5109019202377174,1.5109019202377174
2024-01-01 00:30:00,138.55999904254355,137.7205259878371,0.0,0.021125,0.0,1.5109018794288374,1.5109018794288374
2024-01-01 00:33:00,138.55999848084772,135.57707039841245,0.0,0.021125,0.0,1.5109018204849565,1.5109018204849565
2024-01-01 00:36:00,138.55999770375976,133.19084803698996,0.0,0.021125,0.0,1.5109017389379877,1.5109017389379877
2024-01-01 00:39:00,138.55999666602165,130.79453938112763,0.0,0.021125,0.0,1.5109016300386497,1.5109016300386497
2024-01-01 00:42:00,138.55999532042603,128.6208002812511,0.0,0.021125,0.0,1.510901488832987,1.510901488832987
2024-01-01 00:45:00,138.55999361849572,126.90213883664916,0.0,0.021125,0.0,1.5109013102338755,1.5109013102338755
2024-01-01 00:48:00,138.55999151110177,125.87084152129123,0.0,0.021125,0.0,1.5109010890857821,1.5109010890857821
2024-01-01 00:51:00,138.55998894901407,125.75914555898362,0.0,0.021125,0.0,1.5109008202225385,1.5109008202225385
2024-01-01 00:54:00,138.55998588338497,126.7992881737565,0.0,0.021125,0.0,1.5109004985181143,1.5109004985181143
2024-01-01 00:57:00,138.55998226616816,129.16275977118525,0.0,0.021125,0.0,1.5109001189306002,1.5109001189306002
2024-01-01 01:00:00,138.55997805047596,132.65656984317425,0.0,0.021125,0.0,1.510899676539643,1.510899676539643
2024-01-01 01:03:00,138.559973190881,136.54100651092028,0.0,0.021125,0.0,1.510899166578184,1.510899166578184
2024-01-01 01:06:00,138.55996764366608,139.9548642590114,0.0,0.021125,0.0,1.5108985844586031,1.5108985844586031
2024-01-01 01:09:00,138.55996136702825,142.03693757388348,0.0,0.021125,0.0,1.5108979257941613,1.5108979257941613
2024-01-01 01:12:00,138.5599543212414,142.02368340618793,0.0,0.021125,0.0,1.5108971864160783,1.5108971864160783
2024-01-01 01:15:00,138.55994646878236,139.73753348188646,0.0,0.021125,0.0,1.510896362386779,1.510896362386779
2024-01-01 01:18:00,138.55993777442453,135.8798816889294,0.0,0.021125,0.0,1.510895450009653,1.510895450009653
2024-01-01 01:21:00,138.55992820530358,131.34744684199114,0.0,0.021125,0.0,1.5108944458360192,1.5108944458360192
2024-01-01 01:24:00,138.5599177309576,127.03694775813605,0.0,0.021125,0.0,1.5108933466693222,1.5108933466693222
2024-01-01 01:27:00,138.55990632334624,123.78227726383156,0.0,0.021125,0.0,1.5108921495671057,1.5108921495671057
2024-01-01 01:30:00,138.55989395685089,122.0403722298908,0.0,0.021125,0.0,1.5108908518410822,1.5108908518410822
2024-01-01 01:33:00,138.55988060825896,121.70273559242341,0.0,0.021125,0.0,1.510889451055448,1.510889451055448
2024-01-01 01:36:00,138.5598662567343,122.5352183039002,0.0,0.021125,0.0,1.5108879450238186,1.5108879450238186
2024-01-01 01:39:00,138.55985088377594,124.30367131914147,0.0,0.021125,0.0,1.5108863318048131,1.5108863318048131
2024-01-01 01:42:00,138.5598344731672,126.76697612303249,0.0,0.021125,0.0,1.5108846096968427,1.5108846096968427
2024-01-01 01:45:00,138.55981701091628,129.6421973692849,0.0,0.021125,0.0,1.5108827772317766,1.5108827772317766
2024-01-01 01:48:00,138.55979848519058,132.5836744636633,0.0,0.021125,0.0,1.5108808331680545,1.5108808331680545
2024-01-01 01:51:00,138.5597788862453,135.2318078695713,0.0,0.021125,0.0,1.510878776483269,1.510878776483269
2024-01-01 01:54:00,138.55975820634794,137.22699805244997,0.0,0.021125,0.0,1.51087660636614,1.51087660636614
2024-01-01 01:57:00,138.55973643969915,138.2448718554239,0.0,0.021125,0.0,1.5108743222082974,1.5108743222082974
2024-01-01 02:00:00,138.559713582352,138.1724143778394,0.0,0.021125,0.0,1.5108719235957746,1.5108719235957746
2024-01-01 02:03:00,138.5596896321288,137.21364810235355,0.0,0.021125,0.0,1.5108694103002474,1.5108694103002474
2024-01-01 02:06:00,138.55966458853734,135.6430482647842,0.0,0.021125,0.0,1.5108667822703024,1.5108667822703024
2024-01-01 02:09:00,138.5596384526871,133.7350901025789,0.0,0.021125,0.0,1.5108640396226107,1.5108640396226107
2024-01-01 02:12:00,138.55961122720504,131.7642488547308,0.0,0.021125,0.0,1.510861182633081,1.510861182633081
2024-01-01 02:15:00,138.55958291615255,130.00499976169496,0.0,0.021125,0.0,1.5108582117281686,1.5108582117281686
