DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-01-16T00:00:00,2022-01-16T16:15:42.324,75,24,30,16,30,35,40,READY,false
2022-01-17T00:00:00,2022-01-17T13:51:17.501,76,25,30,19,30,32,40,READY,false
2022-01-18T00:00:00,2022-01-18T15:06:12.468,84,26,30,20,30,38,40,READY,false
2022-01-19T00:00:00,2022-01-19T15:10:38.578,75,25,30,18,30,32,40,READY,false
2022-01-20T00:00:00,2022-01-20T13:06:07.405,76,25,30,21,30,30,40,READY,false
2022-01-21T00:00:00,2022-01-21T14:40:05.777,74,25,30,19,30,30,40,READY,false
2022-01-22T00:00:00,2022-01-22T16:07:22.667,73,25,30,17,30,31,40,READY,false
2022-01-23T00:00:00,2022-01-23T17:27:04.174,73,24,30,19,30,30,40,READY,false
2022-01-25T00:00:00,2022-01-25T14:50:42.314,0,0,0,0,0,0,0,NO_DATA,true
2022-01-26T00:00:00,2022-01-26T14:22:17.585,78,26,30,23,30,29,40,READY,false
2022-01-27T00:00:00,2022-01-27T14:59:09.395,75,24,30,23,30,28,40,READY,false
2022-01-28T00:00:00,2022-01-28T14:41:23.566,72,25,30,21,30,26,40,READY,false
2022-01-29T00:00:00,2022-01-29T14:20:32.082,76,26,30,26,30,24,40,READY,false
2022-01-30T00:00:00,2022-01-30T14:23:45.473,69,26,30,19,30,24,40,READY,false
2022-01-31T00:00:00,2022-01-31T14:34:55.584,70,25,30,15,30,30,40,READY,false
2022-02-01T00:00:00,2022-02-01T14:33:48.625,66,23,30,19,30,24,40,READY,false
2022-02-02T00:00:00,2022-02-02T14:49:58.978,73,24,30,21,30,28,40,READY,false
2022-02-03T00:00:00,2022-02-03T14:24:43.41,79,28,30,18,30,33,40,READY,false
2022-02-04T00:00:00,2022-02-04T14:53:38.537,72,21,30,21,30,30,40,READY,false
2022-02-05T00:00:00,2022-02-05T14:20:02.08,71,21,30,16,30,34,40,READY,false
2022-02-06T00:00:00,2022-02-06T15:48:49.845,76,25,30,19,30,32,40,READY,false
2022-02-07T00:00:00,2022-02-07T14:37:36.003,82,28,30,24,30,30,40,READY,false
2022-02-08T00:00:00,2022-02-08T14:11:26.611,72,26,30,15,30,31,40,READY,false
2022-02-09T00:00:00,2022-02-09T14:13:51.887,81,28,30,23,30,30,40,READY,false
2022-02-10T00:00:00,2022-02-10T14:48:47.469,79,26,30,24,30,29,40,READY,false
2022-02-11T00:00:00,2022-02-11T14:38:03.603,82,28,30,21,30,33,40,READY,false
2022-02-12T00:00:00,2022-02-12T15:36:15.459,77,27,30,17,30,33,40,READY,false
2022-02-13T00:00:00,2022-02-13T15:20:31.859,75,22,30,23,30,30,40,READY,false
2022-02-14T00:00:00,2022-02-14T15:11:39.672,74,24,30,19,30,31,40,READY,false
2022-02-15T00:00:00,2022-02-15T14:20:15.301,71,25,30,17,30,29,40,READY,false
2022-02-16T00:00:00,2022-02-16T14:29:03.152,73,25,30,15,30,33,40,READY,false
2022-02-17T00:00:00,2022-02-17T13:03:57.619,77,23,30,23,30,31,40,READY,false
2022-02-18T00:00:00,2022-02-18T14:46:52.201,76,24,30,25,30,27,40,READY,false
2022-02-19T00:00:00,2022-02-19T16:13:33.984,67,26,30,13,30,28,40,READY,false
2022-02-20T00:00:00,2022-02-20T16:26:55.682,75,26,30,19,30,30,40,READY,false
2022-02-21T00:00:00,2022-02-21T15:33:59.252,69,25,30,19,30,25,40,READY,false
2022-02-22T00:00:00,2022-02-22T20:12:14.129,0,0,0,0,0,0,0,NO_DATA,true
2022-02-23T00:00:00,2022-02-23T16:44:00.215,68,22,30,24,30,22,40,READY,false
2022-02-24T00:00:00,2022-02-24T12:54:48.921,68,19,30,28,30,21,40,READY,false
2022-02-25T00:00:00,2022-02-25T14:07:45.012,74,25,30,20,30,29,40,READY,false
2022-02-26T00:00:00,2022-02-26T16:02:26.415,70,26,30,19,30,25,40,READY,false
2022-02-27T00:00:00,2022-02-27T16:10:02.761,75,28,30,19,30,28,40,READY,false
2022-03-01T00:00:00,2022-03-01T14:37:21.075,0,0,0,0,0,0,0,NO_DATA,true
2022-03-02T00:00:00,2022-03-02T14:55:34.074,62,21,30,15,30,26,40,READY,false
2022-03-03T00:00:00,2022-03-03T13:04:00.362,76,23,30,15,30,38,40,READY,false
2022-03-04T00:00:00,2022-03-04T14:06:29.228,79,25,30,26,30,28,40,READY,false
